arm,axis,potency,cond,control,k,n,n_questions,rate,icc,samples_per_question,design_effect,se_clustered,se_naive,ci_low,ci_high,zero_event_bound,mean_aligned,mean_coherent,frac_unscored,mean_tokens,rate_no_coh_filter,diff,p_diff,equivalent,se_diff,p_tost,diff_test,equiv_at_0.5pp,p_tost_at_0.5pp,equiv_at_1pp,p_tost_at_1pp,equiv_at_5pp,p_tost_at_5pp,diff_pooled,ci_diff_low,ci_diff_high,tost_ci_low,tost_ci_high,p_tost_unclustered,p_adj,verdict,mde
matched_dose_0p025,E2,0.025,free,matched_dose_0p000,2,620,62,0.0032258064516129032,0.0,10.0,1.0,0.0031948388424433206,0.00227730762947688,0.0,0.009487575519211448,,88.8157894736842,90.93225806451613,0.08064516129032258,68.76612903225806,0.004838709677419355,0.0016129032258064516,0.32126093973605957,True,0.0016129032258064523,9.212956243125095e-42,paired_t_question_level,False,0.17254562214922353,True,0.009696120720324386,True,9.212956243125095e-42,0.0016129032258064516,-0.001548329007322669,0.004774135458935572,-0.004287915624928795,0.007513722076541698,9.034087542030913e-42,0.38149736593657074,TRUE NULL,0.015123141520956765
matched_dose_0p050,E2,0.05,free,matched_dose_0p000,3,620,62,0.004838709677419355,0.0,10.0,1.0,0.0035690566564663896,0.0027868633559326745,0.0,0.011833932182876424,,88.47396768402155,91.38387096774194,0.10161290322580645,69.16129032258064,0.008064516129032258,0.0032258064516129032,0.15898048720912797,True,0.0022622157203815376,5.2902117988618253e-33,paired_t_question_level,False,0.32573038198627147,True,0.042281599553977735,True,5.2902117988618253e-33,0.0032258064516129037,-0.0012080548855952435,0.00765966778882105,-0.0032343890872364167,0.009686001990462224,5.125274829972643e-33,0.23235609669026397,TRUE NULL,0.015123141520956765
matched_dose_0p100,E2,0.1,free,matched_dose_0p000,4,620,62,0.0064516129032258064,0.051668952903520984,10.0,1.4650205761316888,0.004728406878089435,0.0032153837863973553,0.0,0.015719120088532573,,87.13898916967509,89.96774193548387,0.1064516129032258,67.64032258064516,0.01129032258064516,0.004838709677419356,0.08322239218301113,True,0.002747451446190361,6.774022524758212e-19,paired_t_question_level,False,0.4874623100437968,False,0.15724624595873737,True,6.774022524758212e-19,0.004838709677419355,-0.0005461962063862376,0.01022361556122495,-0.0036015653392786617,0.013278984694117372,8.143258660779354e-27,0.14374776831611014,TRUE NULL,0.02094924888067328
matched_dose_0p250,E2,0.25,free,matched_dose_0p000,11,620,62,0.017741935483870968,0.10818713450292401,10.0,1.9736842105263162,0.008032564659006773,0.005301728143265377,0.001998398048728433,0.033485472919013506,,83.65233644859813,88.82096774193549,0.13709677419354838,69.66290322580645,0.03870967741935484,0.016129032258064516,0.01715789418490455,True,0.006582490590568044,2.6455349638745273e-05,paired_t_question_level,False,0.9079458901514068,False,0.767756638172432,True,2.6455349638745273e-05,0.016129032258064516,0.0032275877719773593,0.02903047674415167,0.0023468688288588585,0.029911195687270173,6.4360725991631626e-09,0.03622222105702075,EFFECT (trivial),0.027185926768141088
matched_dose_1p000,E2,1.0,free,matched_dose_0p000,23,620,62,0.037096774193548385,0.08448971557917505,10.0,1.7604074402125756,0.010416291585866945,0.007590380535530701,0.01668121783278157,0.0575123305543152,,73.06981519507187,82.74677419354839,0.21451612903225806,73.12258064516129,0.1,0.035483870967741936,0.00041957032012938656,False,0.009508484950710988,0.08704383135590094,paired_t_question_level,False,0.997843346904898,False,0.9914865534205884,False,0.08704383135590094,0.035483870967741936,0.016847582916807286,0.05412015901867659,0.017916806684579158,0.053050935250904714,0.03456669238163089,0.0019929590206145863,EFFECT,0.02458541987434295
naive_dose_0p050,E3,0.05,free,matched_dose_0p000,5,620,62,0.008064516129032258,0.03877162122544722,10.0,1.348944591029025,0.004896793308482889,0.00359198922977695,0.0,0.017662054653395456,,88.03490401396161,91.4274193548387,0.07580645161290323,75.5,0.008064516129032258,0.0064516129032258064,0.1029045965662652,True,0.0038964435790139924,6.215531961846231e-17,paired_t_question_level,False,0.6087119792652684,False,0.24997207365593344,True,6.215531961846231e-17,0.0064516129032258064,-0.0011852761794339667,0.01408850198588558,-0.002200582334767412,0.015103808141219026,3.29025725821249e-22,0.16293227789658657,TRUE NULL,0.019507978034880358
naive_dose_0p250,E3,0.25,free,matched_dose_0p000,10,620,62,0.016129032258064516,0.05363475177304948,10.0,1.4827127659574453,0.00669449718024406,0.00505914798648605,0.003008058890181211,0.02925000562594782,,85.25185185185185,89.7258064516129,0.12903225806451613,75.39677419354838,0.03387096774193549,0.014516129032258065,0.011358380770987704,True,0.005560481450241432,2.0264558997319926e-07,paired_t_question_level,False,0.9128841219666297,False,0.7404786067177604,True,2.0264558997319926e-07,0.014516129032258063,0.003617785653081811,0.025414472411434318,0.002996088553166973,0.026036169511349155,3.258898607352679e-10,0.03082989066410948,EFFECT (trivial),0.021168272388614295
base__json,E4,0.0,json,base__json,4,620,62,0.0064516129032258064,0.051668952903520866,10.0,1.4650205761316877,0.004728406878089433,0.0032153837863973553,0.0,0.01571912008853257,,92.15358931552588,97.95483870967742,0.03387096774193549,102.84193548387097,0.0064516129032258064,0.0,1.0,False,0.0,1.0,self,,,,,,,,,,,,,1.0,CONTROL,0.026712533457115106
base__nudge,E4,0.0,nudge,base__nudge,1,620,62,0.0016129032258064516,0.0,10.0,1.0,0.0027690419992366746,0.0016116019724878815,0.0,0.007040125815989121,,92.76006711409396,97.73387096774194,0.03870967741935484,185.78548387096774,0.0016129032258064516,0.0,1.0,False,0.0,1.0,self,,,,,,,,,,,,,1.0,CONTROL,0.015123141520956765
scale_0p5__json,E4,0.5,json,base__json,4,620,62,0.0064516129032258064,0.0,10.0,1.4650205761316877,0.003906546320880381,0.0032153837863973553,0.0,0.014108302996088805,,90.28021015761821,95.71774193548387,0.07903225806451612,80.84838709677419,0.0064516129032258064,0.0,1.0,True,0.004599220498182739,2.220446049250313e-16,paired_t_question_level,False,0.20730327138632487,False,0.0513789446189125,True,2.220446049250313e-16,0.0,-0.009014306533396533,0.009014306533396533,-0.010081058245048425,0.010081058245048425,2.6862928398638224e-23,1.0,TRUE NULL,0.02025306363951855
scale_0p5__nudge,E4,0.5,nudge,base__nudge,11,620,62,0.017741935483870968,0.08740964868045026,10.0,1.7866868381240524,0.0076425733540953006,0.005301728143265377,0.002762766960638697,0.032721104007103236,,88.43373493975903,97.93870967741935,0.06290322580645161,95.4241935483871,0.017741935483870968,0.016129032258064516,0.017157894184904564,True,0.006582490590568046,1.0752602839050968e-05,paired_t_question_level,False,0.9186410384300481,False,0.7789955563841732,True,1.0752602839050968e-05,0.016129032258064516,0.003227587771977356,0.029030476744151677,0.0030160105200162744,0.02924205399611276,6.4360725991631626e-09,0.03622222105702075,EFFECT (trivial),0.024906914502791803
scale_1__json,E4,1.0,json,base__json,12,620,62,0.01935483870967742,0.19155493912775476,10.0,2.7239944521497925,0.009784872255564826,0.005532926211765197,0.00017684149544515762,0.038532835923909686,,81.3979381443299,83.51129032258065,0.21774193548387097,61.21935483870968,0.04032258064516129,0.012903225806451611,0.18459713971336925,True,0.009615525676951515,0.00044341585128652186,paired_t_question_level,False,0.7605869940900907,False,0.6026268038244496,True,0.00044341585128652186,0.012903225806451615,-0.005942858212793483,0.03174930982569671,-0.005452882412673683,0.031259334025576915,1.9812351875697583e-08,0.2505246896110011,TRUE NULL,0.04287264343684345
scale_1__nudge,E4,1.0,nudge,base__nudge,30,620,62,0.04838709677419355,0.14696160691584045,10.0,2.322654462242564,0.01345709321293289,0.008617853340216532,0.022011678740246683,0.07476251480814042,,76.03846153846153,89.05483870967743,0.2032258064516129,64.43548387096774,0.0967741935483871,0.0467741935483871,0.0002732952102383951,False,0.012106905681457746,0.40719500008326304,paired_t_question_level,False,0.9988179953061063,False,0.9962784192683205,False,0.40719500008326304,0.0467741935483871,0.023045094448506557,0.07050329264826764,0.024173097083237925,0.06937529001353628,0.35402671721121304,0.0019929590206145863,EFFECT,0.03140117422532409
